"","LogFC","logCPM","LR","PValue","padj","stat"
"ANKRD23",-1.98238320067009,1.7921434435173,377.645162156458,4.05182412904222e-84,7.00326307408353e-83,"200539"
"ANKRD29",-1.97016447555606,2.01225969337408,300.712153941067,2.30471705788748e-67,2.955075683775e-66,"147463"
"ANKRD30B",2.83863380187021,3.52883475465901,70.3869850680778,4.8740429322792e-17,1.26095443042243e-16,"374860"
"ANKRD35",-1.43979816954569,2.18156358838559,142.4896488409,7.60007894028768e-33,3.68959192347169e-32,"148741"
"ANKRD43",1.89827746277779,3.21792910554929,57.5659866353146,3.26828712101743e-14,7.44104673227976e-14,NA
"ANKRD58",1.45211841966422,0.390807397376365,190.850671296125,2.07324202247864e-43,1.39960275908062e-42,NA
"ANKRD5",1.01003642586393,4.13164381143777,144.458979190159,2.81996040881852e-33,1.38707791782724e-32,NA
"ANKS1B",1.00909143540835,2.67478634949051,64.0330919587461,1.22346803778008e-15,2.97899171349655e-15,"56899"
"ANLN",3.79953201028253,5.43007082721304,547.465365135784,4.48103658081483e-121,1.46089636799913e-119,"54443"
"ANO3",-1.27706266274049,1.02140083994953,25.233595773153,5.07897202241299e-07,8.20288391999253e-07,"63982"
"ANO6",-1.30108967092079,6.95081600420207,679.056107774287,1.07198759210285e-149,6.2146082236344e-148,"196527"
"ANO7",2.0418805936178,1.11803462508882,121.377329050182,3.15945350773969e-28,1.2903700058063e-27,"50636"
"ANO9",1.57868126570757,3.74159574540453,180.572230286796,3.63479818812796e-41,2.31926587601364e-40,"338440"
"ANTXR2",-1.55365137834507,5.48626200851163,547.792415928506,3.80391757866436e-121,1.24559490119825e-119,"118429"
"ANXA1",-2.02600397152012,7.7229930666276,520.007859523118,4.2153335739427e-115,1.24119080865953e-113,"301"
"ANXA3",-1.20118847663257,4.98302633583116,90.535895138479,1.81651360052861e-21,5.62198507151554e-21,"306"
"ANXA9",2.52438218244236,5.0465106035092,186.462941243661,1.88118660456843e-42,1.23852404867278e-41,"8416"
"AOC2",-2.35396810151363,0.281534821917465,514.64114392919,6.20073979969579e-114,1.76644019647548e-112,"314"
"AOC3",-3.82934592548351,6.49945117497895,1759.64451016913,0,0,"8639"
"AOX1",-2.17483197842257,3.97482304051854,273.76224772655,1.71776738092741e-61,1.91995620468399e-60,"316"
"AP1M2",1.36989860163378,6.64031309712128,223.891642586175,1.28100287487762e-50,1.08072830310315e-49,"10053"
"AP1S1",1.11278119215015,5.58301265472302,360.670128307691,2.0121753344821e-80,3.29082330498889e-79,"1174"
"AP1S3",1.56228440627099,3.12017719446419,269.179141171873,1.71321885900321e-60,1.87547742691321e-59,"130340"
"APBA1",-1.22002553150865,3.13795869954154,143.007274136046,5.85653113931539e-33,2.85618518640458e-32,"320"
"APBA2",1.20374503637325,2.63648947744445,57.0840696700159,4.17574434623137e-14,9.47956955881474e-14,"321"
"APBB1IP",-1.06136245112605,4.22172054576331,158.326953430181,2.62543049878404e-36,1.43021166367033e-35,"54518"
"APCDD1L",-2.17131853008049,2.7446395859132,206.333328734263,8.66687257715024e-47,6.46608585513077e-46,"164284"
"APCDD1",-2.27624489746191,4.8022487342826,668.437982760278,2.18423063816076e-147,1.22341549917132e-145,"147495"
"APITD1",1.18803949538075,3.85869481384122,295.893714991457,2.58471597359334e-66,3.24702219987919e-65,NA
"APLP1",2.63910272042349,4.26534720825919,131.858910591542,1.60639849355921e-30,7.13587690982071e-30,"333"
"APOA1BP",1.13733877380785,6.84743527067569,342.352054394178,1.96173399584527e-76,3.03824062412668e-75,NA
"APOB48R",1.15410419021719,4.5915008966236,91.6918489404588,1.01281216767907e-21,3.16615368993925e-21,NA
"APOBEC3A",2.3888950007626,1.04002055414683,121.950184817081,2.36707289573952e-28,9.69406791468473e-28,"200315"
"APOBEC3B",3.07328222062602,3.9351114682998,231.594087880875,2.67734111643867e-52,2.38005401514438e-51,"9582"
"APOB",-5.51372450918587,0.803335718318117,931.654095432682,1.29042110797797e-204,1.4455627133657e-202,"338"
"APOC2",1.74010116944973,2.53782387361901,119.609414527319,7.70273610474564e-28,3.10086639353162e-27,"344"
"APOD",-1.58592547610613,9.25089635661558,77.4696004313187,1.34781025205782e-18,3.71389401616597e-18,"347"
"APOLD1",-1.85586989791674,5.48994202813854,435.548878590874,1.00737893579913e-96,2.15336280695428e-95,"81575"
"APOO",1.47128069244857,4.08435665410274,322.634049257697,3.86505352926698e-72,5.50004131160923e-71,"79135"
"AQP11",1.24038076312544,1.44502454359737,63.5197350223748,1.58768234882453e-15,3.84757308313869e-15,"282679"
"AQP1",-2.13698168218573,7.73864848016397,585.126151290202,2.87770894648402e-129,1.14029217004429e-127,"358"
"AQP4",-1.63091816190255,0.764283601909215,56.2442079177779,6.40061079231392e-14,1.44183096756403e-13,"361"
"AQP7",-5.19480825728819,3.46455584966041,1026.6185964869,2.94047676862073e-225,4.21251570920003e-223,"364"
"AQP9",1.03569696463976,2.15868158465309,22.3210230433676,2.30667465580871e-06,3.60544961150797e-06,"366"
"AQPEP",-5.16768699627939,1.02866416761764,1666.47226698896,0,0,NA
"ARAP3",-1.40542958816404,4.1722751792006,538.476075206338,4.04538622596702e-119,1.26888861854069e-117,"64411"
"ARC",-1.49148672367237,2.10349054927274,73.0044825347898,1.29355713212438e-17,3.4244327845631e-17,"23237"
"ARHGAP10",-1.20207600982894,3.9745207412698,233.411727506437,1.07479335880091e-52,9.65823055052758e-52,"79658"
"ARHGAP11A",2.61986942700406,4.45116438511407,458.816148568469,8.69998485893628e-102,2.04772629404884e-100,"9824"
"ARHGAP11B",2.7346334845945,0.592828143658118,282.582005450533,2.05561353972084e-63,2.4020851865334e-62,"89839"
"ARHGAP20",-3.03970468065058,2.02631898929782,1568.32685379718,0,0,"57569"
"ARHGAP23",-1.21752404499911,5.40803091459722,236.902048399195,1.86301005414645e-53,1.70288262556613e-52,"57636"
"ARHGAP24",-1.0816023720769,3.55274269509894,245.830602237788,2.10589176302613e-55,2.03210371614808e-54,"83478"
"ARHGAP26",-1.05541952757672,4.59701569910222,154.481190087754,1.81790359544987e-35,9.66629038851093e-35,"23092"
"ARHGAP31",-1.10676233278482,5.34130390508381,281.367273367039,3.78134349376667e-63,4.39113302522444e-62,"57514"
"ARHGAP39",1.33655267179755,5.1165825973912,256.589896840683,9.50289104979992e-58,9.73082981106316e-57,"80728"
"ARHGAP6",-1.27914605178773,1.99729963007478,188.908195767365,5.50366314634816e-43,3.68038946218318e-42,"395"
"ARHGEF15",-1.99677167504552,4.29799452724872,808.817459250898,6.53130240802935e-178,5.46684688636119e-176,"22899"
"ARHGEF37",-1.09003389083014,5.3128019045147,151.180486783768,9.57061697153187e-35,4.97011579849611e-34,"389337"
"ARHGEF4",-1.46490867317393,2.66894569231369,154.228728148966,2.06415814266773e-35,1.09522408004297e-34,"50649"
"ARHGEF6",-1.25431379618773,6.10651120483868,214.626033622873,1.34476802944616e-48,1.06065107838636e-47,"9459"
"ARID5A",-1.59365424524037,6.00853939349812,427.000418514222,7.30721609125899e-95,1.52693145222535e-93,"10865"
"ARID5B",-1.4640134037636,6.51793212948479,500.750190074255,6.5274615100067e-111,1.76182335213025e-109,"84159"
"ARL11",1.65669857203332,2.2933000014298,175.462284748038,4.74521960348426e-40,2.90822817245216e-39,"115761"
"ARL4A",-1.39289964144811,4.74929044905527,263.140874314577,3.54728460292678e-59,3.76163653373709e-58,"10124"
"ARL6IP1",1.08738955957576,8.72791178791699,292.868486403572,1.17909692515743e-65,1.45064947051367e-64,"23204"
"ARMC3",4.29669080850675,1.03490175214121,192.374533166252,9.63913873860451e-44,6.61508650697691e-43,"219681"
"ARMC9",1.03591014618229,4.11896624495614,245.72738887167,2.21788490870294e-55,2.13740409151133e-54,"80210"
"ARNT2",2.0424049601991,6.11830919845477,144.560848400342,2.67899170240691e-33,1.31860909726332e-32,"9915"
"ARNTL2",1.09358639499395,2.24388369160636,44.529320865191,2.50576233231303e-11,5.0125339673915e-11,"56938"
"ARRDC3",-1.35382766487523,6.7810512610904,453.622618891957,1.17419550457439e-100,2.70810198493094e-99,"57561"
"ARSE",1.22366190423795,1.22920427119962,63.1299549492171,1.93508774398643e-15,4.66669995106084e-15,"415"
"ARSI",1.49645792131045,2.75386078698686,122.986507089156,1.40400437112257e-28,5.8090144752444e-28,"340075"
"ART3",2.38083347593272,2.47753483107624,21.3482360903922,3.82972959126748e-06,5.92022631046838e-06,"419"
"ARTN",3.39008096773721,2.33461752707235,280.478248996843,5.90714605348584e-63,6.82781761449849e-62,"9048"
"ARV1",1.06764794132262,4.93664600073781,216.458019705977,5.35806222822042e-49,4.27812267621951e-48,"64801"
"ARX",1.18229227695821,0.697336220564833,10.9888173929207,0.000916632821281241,0.0012246155312293,"170302"
"ASAM",-2.39857038415872,4.20332612330841,776.219245188776,7.98955669615778e-171,6.07328598041096e-169,NA
"ASB2",-1.74512986594692,1.12672891042598,242.770006674184,9.78891497187506e-55,9.23654491234747e-54,"51676"
"ASCL1",5.74219838210288,2.60727580384999,56.1195477783258,6.81957087980042e-14,1.53365715529278e-13,"429"
"ASCL2",2.01408965445568,2.56638132333568,109.484885799092,1.27069737809227e-25,4.65734815158589e-25,"430"
"ASF1B",3.21660241942836,4.66580278342442,643.813169664546,4.95033609826588e-142,2.58789675537065e-140,"55723"
"ASNS",1.17398758243821,5.2577941517267,121.953631869468,2.36296382821378e-28,9.67990048846771e-28,"440"
"ASPHD1",1.86201311570203,2.39922419680706,86.346598361919,1.5100805298572e-20,4.51871657247288e-20,"253982"
"ASPHD2",1.43325016929804,2.17435481657225,266.015021419769,8.38381140015175e-60,9.04492440628972e-59,"57168"
"ASPM",4.00855859399375,5.05896443790321,562.701273550652,2.17271957615043e-124,7.65280117377428e-123,"259266"
"ASPN",2.03933201757191,6.97025532399266,122.117317710537,2.17583758587139e-28,8.92560688102913e-28,"54829"
